AIC_SI,AIC_SI2N,AIC_IM,AIC_IM2N,AIC_IM2m,wAIC_SI,wAIC_SI2N,wAIC_IM,wAIC_IM2N,wAIC_IM2m,best_model
725.5671679220125,709.1760786486846,659.5010391679168,665.2539622996587,668.8912941501427,4.230383992628711e-15,1.5334146285254694e-11,0.9385499036523015,0.05287202984188874,0.008578066490471123,IM
654.2958724055379,658.2958163189367,600.1649203637389,611.0732984556139,634.0028156212243,1.7529074888570526e-12,2.3723688430403223e-13,0.9957398368256333,0.004260118469004082,4.470337243197279e-08,IM
690.6745582224441,694.6646274714006,636.2416357867116,637.8559651956632,640.4859329949497,9.666703388940107e-13,1.3147581280744872e-13,0.6386123556323577,0.2848984849380721,0.07648915942847204,IM
621.6114804327626,597.3106646970207,586.6861588285415,607.2249011206306,588.7430141247146,1.913001652973033e-08,0.003618848775465963,0.7339265031639929,2.5451966893047836e-05,0.2624291769636317,IM
844.016470192252,847.9817639967264,766.5512282919337,772.0317079288424,749.586452626865,3.1238235321412267e-21,4.301638227777368e-22,0.00020703798893230476,1.3365309133275628e-05,0.9997795967019344,IM2m
679.974006534364,683.9739737901363,633.1973137858915,646.6224617894893,648.1784337636254,6.947051733210422e-11,9.401966068533261e-12,0.9982292794054403,0.0012133789482796494,0.0005573415674075011,IM
644.3218164865108,648.3216082924182,602.5928725546894,612.7376599926904,619.3586544448283,8.627060428182486e-10,1.1676672109288415e-10,0.9935457791227255,0.006226948594292904,0.00022727130350875434,IM
704.4744681736453,677.291553407014,644.7579238274232,651.1004811965752,657.4169075638263,1.0330652725085378e-13,8.257007995902088e-08,0.9580994845248991,0.04019219948210799,0.0017082334228095799,IM
595.431753839229,599.4317244023023,562.5930472704761,569.5690076930653,591.6684662158073,7.179445118587608e-08,9.716465396445337e-09,0.9703432917880725,0.029656155421667812,4.7127934305098463e-07,IM
636.0187312004798,639.8865946104212,600.2796332923374,598.850455723606,612.2889241058801,5.69705198715304e-09,8.236720225795073e-10,0.32831950731588816,0.6708704352399515,0.0008100509234363634,IM2N
672.4972887605308,676.4896948525675,632.1776706131192,642.7974429941848,638.208611764731,1.6667860998472712e-09,2.2643309479534603e-10,0.9487978828547453,0.0046894232773534664,0.04651269197468196,IM
698.488833850926,702.4888696998505,636.2338009550288,644.8949706979403,649.2752791266555,2.986638317063897e-14,4.041902976064925e-15,0.9855785914768066,0.012970064868958058,0.0014513436542014457,IM
693.72086656736,621.3377028363259,631.6032288744887,631.5565615719802,645.833226415956,1.8925134930065885e-16,0.9881964288620546,0.005830591618660167,0.005968240287832263,4.739231452754432e-06,SI2N
603.6244462654092,571.422911323556,567.6887476676136,569.9219207935294,567.5071419880169,6.103008416517324e-09,0.059981653808248166,0.3880447133489459,0.1270440670114759,0.4249295597283217,IM2m
697.0882387634896,701.0120313747874,653.0866995356362,657.9518799584034,674.9589514184455,2.562284598991538e-10,3.6023559765675916e-11,0.9192639035667435,0.08071973019713236,1.636594387194856e-05,IM
676.6075791551689,680.6073172674834,627.3119293800584,635.1427117865585,652.3950862182357,1.9364781510722854e-11,2.621081382567258e-12,0.9804533638092694,0.019543131163766703,3.5050049779081528e-06,IM
827.8622136756858,831.8451567230004,756.1855568688585,769.9621307013985,753.9107021277975,6.618208014484477e-17,9.033484830362162e-18,0.242732919486159,0.00024750483194744237,0.7570195756818934,IM2m
763.3758332030078,767.0598797928628,692.2969837213611,703.7290682106553,690.1194828949644,9.25150104639127e-17,1.4663297628434036e-17,0.2516449719143737,0.0008285956558630198,0.7475264324297631,IM2m
676.0176921679038,679.9098614979009,625.4668956975361,649.6105837020662,632.7076474661351,1.0269689767706871e-11,1.4668425284981132e-12,0.9739200480654329,5.569139149929241e-06,0.026074382783680784,IM
663.2812550863684,666.4344812080449,621.7922919888508,619.5487034636037,623.1079306134695,2.1336871192727517e-10,4.409774512781556e-11,0.2179438417404607,0.669165681907268,0.11289047609480488,IM2N
731.3467187490073,667.026856098379,672.4630184796034,680.4998775302591,670.1984378179566,8.484790253922364e-15,0.7861796967623503,0.05188886383638761,0.0009330230923427057,0.16099841630891082,SI2N
