model,genome,dfe,percent,divtime,sites
p1_p2,simple,adaptiveint,10,1250,354523
p1_p2,simple,adaptiveint,10,1250,354640
p1_p2,simple,adaptiveint,10,1250,354380
p1_p2,simple,adaptiveint,10,1250,354274
p1_p2,simple,adaptiveint,10,1250,354452
p1_p2,simple,adaptiveint,10,1250,354182
p1_p2,simple,adaptiveint,10,1250,354299
p1_p2,simple,adaptiveint,10,1250,354331
p1_p2,simple,adaptiveint,10,1250,354363
p1_p2,simple,adaptiveint,10,1250,354356
p1_p2,simple,adaptiveint,10,1250,354163
p1_p2,simple,adaptiveint,10,1250,354604
p1_p2,simple,balancing,10,1250,346284
p1_p2,simple,balancing,10,1250,346275
p1_p2,simple,balancing,10,1250,346340
p1_p2,simple,balancing,10,1250,346382
p1_p2,simple,balancing,10,1250,346193
p1_p2,simple,balancing,10,1250,346373
p1_p2,simple,balancing,10,1250,346001
p1_p2,simple,balancing,10,1250,346134
p1_p2,simple,balancing,10,1250,346170
p1_p2,simple,balancing,10,1250,346169
p1_p2,simple,balancing,10,1250,346295
p1_p2,simple,balancing,10,1250,346171
p1_p2,simple,balancing,10,1250,346437
p1_p2,simple,balancing,10,1250,346212
p1_p2,simple,balancing,10,1250,346294
p1_p2,simple,balancing,10,1250,346237
p1_p2,simple,balancing,10,1250,346187
p1_p2,simple,balancing,10,1250,346104
p1_p2,simple,balancing,10,1250,346406
p1_p2,simple,balancing,10,1250,346354
p1_p2,simple,balancing,10,1250,346003
p1_p2,simple,balancing,10,1250,346206
p1_p2,simple,balancing,10,1250,346122
p1_p2,simple,balancing,10,1250,346292
p1_p2,simple,balancing,10,1250,346115
p1_p2,simple,balancing,10,1250,346087
p1_p2,simple,balancing,10,1250,346226
p1_p2,simple,balancing,10,1250,346138
p1_p2,simple,balancing,10,1250,346287
p1_p2,simple,balancing,10,1250,346210
p1_p2,simple,balancing,10,1250,346394
p1_p2,simple,balancing,10,1250,346372
p1_p2,simple,balancing,10,1250,346134
p1_p2,simple,balancing,10,1250,346201
p1_p2,simple,balancing,10,1250,346430
p1_p2,simple,balancing,10,1250,346146
p1_p2,simple,balancing,10,1250,346001
p1_p2,simple,balancing,10,1250,346059
p1_p2,simple,balancing,10,1250,346078
p1_p2,simple,balancing,10,1250,346337
p1_p2,simple,balancing,10,1250,346336
p1_p2,simple,balancing,10,1250,346097
p1_p2,simple,balancing,10,1250,346228
p1_p2,simple,balancing,10,1250,346050
p1_p2,simple,balancing,10,1250,346284
p1_p2,simple,balancing,10,1250,346134
p1_p2,simple,balancing,10,1250,346200
p1_p2,simple,balancing,10,1250,346290
p1_p2,simple,balancing,10,1250,346323
p1_p2,simple,balancing,10,1250,346240
p1_p2,simple,balancing,10,1250,346185
p1_p2,simple,balancing,10,1250,345973
p1_p2,simple,balancing,10,1250,346297
p1_p2,simple,balancing,10,1250,346252
p1_p2,simple,balancing,10,1250,346082
p1_p2,simple,balancing,10,1250,346192
p1_p2,simple,balancing,10,1250,346145
p1_p2,simple,balancing,10,1250,346218
p1_p2,simple,balancing,10,1250,346228
p1_p2,simple,balancing,10,1250,346376
p1_p2,simple,balancing,10,1250,346021
p1_p2,simple,balancing,10,1250,346194
p1_p2,simple,balancing,10,1250,346157
p1_p2,simple,balancing,10,1250,346167
p1_p2,simple,balancing,10,1250,346002
p1_p2,simple,balancing,10,1250,346234
p1_p2,simple,balancing,10,1250,346286
p1_p2,simple,balancing,10,1250,346154
p1_p2,simple,balancing,10,1250,346175
p1_p2,simple,balancing,10,1250,346117
p1_p2,simple,balancing,10,1250,346178
p1_p2,simple,balancing,10,1250,346225
p1_p2,simple,balancing,10,1250,346266
p1_p2,simple,balancing,10,1250,346144
p1_p2,simple,balancing,10,1250,346280
p1_p2,simple,balancing,10,1250,346135
p1_p2,simple,balancing,10,1250,346211
p1_p2,simple,balancing,10,1250,346006
p1_p2,simple,balancing,10,1250,346105
p1_p2,simple,balancing,10,1250,346227
p1_p2,simple,balancing,10,1250,346409
p1_p2,simple,balancing,10,1250,346334
p1_p2,simple,balancing,10,1250,346415
p1_p2,simple,balancing,10,1250,346396
p1_p2,simple,balancing,10,1250,346277
p1_p2,simple,balancing,10,1250,346250
p1_p2,simple,balancing,10,1250,346200
p1_p2,simple,balancing,10,1250,346347
p1_p2,simple,balancing,10,1250,346345
p1_p2,simple,balancing,10,1250,346206
p1_p2,simple,balancing,10,1250,346041
p1_p2,simple,balancing,10,1250,346115
p1_p2,simple,balancing,10,1250,346041
p1_p2,simple,balancing,10,1250,346231
p1_p2,simple,balancing,10,1250,346377
p1_p2,simple,balancing,10,1250,346079
p1_p2,simple,balancing,10,1250,346323
p1_p2,simple,balancing,10,1250,346135
p1_p2,simple,balancing,10,1250,346379
p1_p2,simple,balancing,10,1250,346320
p1_p2,simple,linkedancestor,10,5000,271186
p1_p2,simple,linkedancestor,10,5000,271218
p1_p2,simple,linkedancestor,10,5000,271284
p1_p2,simple,linkedancestor,10,5000,271153
p1_p2,simple,linkedancestor,10,5000,271083
p1_p2,simple,linkedancestor,10,5000,271337
p1_p2,simple,linkedancestor,10,5000,271115
p1_p2,simple,linkedancestor,10,5000,271184
p1_p2,simple,linkedancestor,10,5000,271268
p1_p2,simple,linkedancestor,10,5000,271155
p1_p2,simple,linkedancestor,10,5000,271212
p1_p2,simple,linkedancestor,10,5000,271224
p1_p2,simple,linkedancestor,10,5000,271233
p1_p2,simple,linkedancestor,10,5000,271224
p1_p2,simple,linkedancestor,10,5000,271087
p1_p2,simple,linkedancestor,10,5000,271187
