,TDIV$,NANC$,V1$,V2$,MaxEstLhood,MaxObsLhood,time,genome,model,dfe,percent,replicate
0,1060204,52123,2.8739305,2.8520329,-30175.326,-30118.988,20000,scaled,nomig,linkedancestor,5percent,68
0,985653,119550,1.2588023,1.2377267,-30232.352,-30175.027,20000,scaled,nomig,linkedancestor,5percent,69
0,1024531,80580,1.7582739,1.8519721,-30152.323,-30087.899,20000,scaled,nomig,linkedancestor,5percent,70
0,842753,255292,0.5866829,0.5776836,-30224.476,-30159.584,20000,scaled,nomig,linkedancestor,5percent,71
0,1051047,60699,2.3775614,2.4408494,-30140.654,-30083.237,20000,scaled,nomig,linkedancestor,5percent,72
0,1057666,39480,3.7565114,3.7589935,-30191.468,-30133.806,20000,scaled,nomig,linkedancestor,5percent,73
0,1042149,76567,1.9357876,1.8919771,-30078.335,-30012.608,20000,scaled,nomig,linkedancestor,5percent,74
0,1031247,66174,2.2141984,2.2068108,-30133.009,-30063.637,20000,scaled,nomig,linkedancestor,5percent,75
0,1067772,35127,4.3325831,4.0766104,-30163.83,-30097.77,20000,scaled,nomig,linkedancestor,5percent,76
0,1060496,40744,3.7278254,3.7006062,-30210.488,-30149.977,20000,scaled,nomig,linkedancestor,5percent,77
0,982998,110708,1.3173708,1.3845702,-30203.174,-30141.324,20000,scaled,nomig,linkedancestor,5percent,78
0,1039216,51769,2.8742905,2.9216796,-30246.764,-30192.795,20000,scaled,nomig,linkedancestor,5percent,79
0,1026783,77253,1.9563689,1.8642143,-30156.163,-30100.126,20000,scaled,nomig,linkedancestor,5percent,80
0,1069376,39709,3.5969472,3.8605147,-30148.788,-30081.483,20000,scaled,nomig,linkedancestor,5percent,81
0,1044693,39569,3.682027,3.6812247,-30161.635,-30090.696,20000,scaled,nomig,linkedancestor,5percent,82
0,1022363,72926,2.0250907,2.0650227,-30202.439,-30139.19,20000,scaled,nomig,linkedancestor,5percent,83
0,1059137,47345,3.1409908,3.0505942,-30172.74,-30121.405,20000,scaled,nomig,linkedancestor,5percent,84
0,1056269,42071,3.5798225,3.5290416,-30233.245,-30176.219,20000,scaled,nomig,linkedancestor,5percent,85
0,1046416,40147,3.6390286,3.7972848,-30268.476,-30216.934,20000,scaled,nomig,linkedancestor,5percent,86
0,994081,105836,1.4301212,1.3695198,-30218.854,-30164.106,20000,scaled,nomig,linkedancestor,5percent,87
0,893579,219885,0.649173,0.6718471,-30104.77,-30039.252,20000,scaled,nomig,linkedancestor,5percent,88
0,1033623,59886,2.4716916,2.4680975,-30221.14,-30163.506,20000,scaled,nomig,linkedancestor,5percent,89
0,1030966,56808,2.5764699,2.6498579,-30202.757,-30139.284,20000,scaled,nomig,linkedancestor,5percent,90
0,1041650,62083,2.3541845,2.3504986,-30124.68,-30068.288,20000,scaled,nomig,linkedancestor,5percent,91
0,1024428,83726,1.7848045,1.7773474,-30191.498,-30136.316,20000,scaled,nomig,linkedancestor,5percent,92
0,898984,201386,0.7220949,0.7224919,-30143.19,-30070.415,20000,scaled,nomig,linkedancestor,5percent,93
0,1070583,33516,4.4152593,4.384061,-30195.104,-30140.703,20000,scaled,nomig,linkedancestor,5percent,94
0,1028444,66571,2.2406209,2.2395228,-30225.002,-30169.926,20000,scaled,nomig,linkedancestor,5percent,95
0,982091,118991,1.2567037,1.2358175,-30169.115,-30110.315,20000,scaled,nomig,linkedancestor,5percent,96
0,1028187,63283,2.3494296,2.3371748,-30185.761,-30115.425,20000,scaled,nomig,linkedancestor,5percent,97
0,895397,203524,0.7435407,0.7171339,-30244.713,-30186.932,20000,scaled,nomig,linkedancestor,5percent,98
0,1012925,84595,1.7806948,1.7345703,-30250.136,-30203.384,20000,scaled,nomig,linkedancestor,5percent,99
0,995345,133579,1.1193464,1.1525763,-30105.84,-30052.266,20000,scaled,nomig,linkedp1,10percent,0
0,1021141,98384,1.5397123,1.5490364,-30131.045,-30077.328,20000,scaled,nomig,linkedp1,10percent,1
0,1076967,72037,2.1180357,2.0587808,-30022.689,-29971.31,20000,scaled,nomig,linkedp1,10percent,2
0,1069032,68541,2.1950017,2.2719599,-30186.391,-30144.388,20000,scaled,nomig,linkedp1,10percent,3
0,1057673,65315,2.281219,2.3498158,-30116.743,-30057.188,20000,scaled,nomig,linkedp1,10percent,4
0,1058655,70380,2.1818469,2.1348286,-30081.51,-30020.76,20000,scaled,nomig,linkedp1,10percent,5
0,1044915,104595,1.4748224,1.4110859,-29986.683,-29919.509,20000,scaled,nomig,linkedp1,10percent,6
0,1090750,79449,1.8522177,1.84567,-29981.096,-29940.242,20000,scaled,nomig,linkedp1,10percent,7
0,1080177,47426,3.2028783,3.2355535,-30113.704,-30056.12,20000,scaled,nomig,linkedp1,10percent,8
0,1082627,44509,3.2555652,3.4888697,-30092.207,-30039.106,20000,scaled,nomig,linkedp1,10percent,9
0,923606,209202,0.7198338,0.7130285,-30053.247,-29997.881,20000,scaled,nomig,linkedp1,10percent,10
0,1051629,83825,1.7608662,1.8285776,-30027.583,-29975.751,20000,scaled,nomig,linkedp1,10percent,11
0,1078391,46473,3.2721169,3.2184298,-30041.8,-29977.906,20000,scaled,nomig,linkedp1,10percent,12
0,1077625,59051,2.6164491,2.5286286,-30067.017,-30013.243,20000,scaled,nomig,linkedp1,10percent,13
0,1063272,65730,2.3037304,2.3262142,-30070.85,-30011.608,20000,scaled,nomig,linkedp1,10percent,14
0,999842,134028,1.1163574,1.1215702,-30076.57,-30027.788,20000,scaled,nomig,linkedp1,10percent,15
0,1107434,36020,4.0881467,4.1344937,-29986.098,-29932.101,20000,scaled,nomig,linkedp1,10percent,16
0,1050274,66602,2.2181575,2.3218473,-30157.049,-30111.678,20000,scaled,nomig,linkedp1,10percent,17
0,1095395,41666,3.5801938,3.5252739,-30056.97,-30005.585,20000,scaled,nomig,linkedp1,10percent,18
0,1088744,41994,3.5765874,3.643478,-30104.346,-30057.502,20000,scaled,nomig,linkedp1,10percent,19
0,1104741,43739,3.3355935,3.5633626,-30105.509,-30058.385,20000,scaled,nomig,linkedp1,10percent,20
0,1044439,80740,1.8964249,1.906155,-30188.326,-30140.906,20000,scaled,nomig,linkedp1,10percent,21
0,1079153,41615,3.640421,3.6299018,-30109.344,-30065.686,20000,scaled,nomig,linkedp1,10percent,22
0,1090103,41867,3.5771706,3.5929685,-30060.56,-30004.627,20000,scaled,nomig,linkedp1,10percent,23
0,1107602,34309,4.4221678,4.2853427,-30007.247,-29947.613,20000,scaled,nomig,linkedp1,10percent,24
0,1076143,44249,3.4134637,3.5033012,-30137.04,-30082.659,20000,scaled,nomig,linkedp1,10percent,25
0,1029209,98403,1.5601781,1.5403092,-30070.226,-30007.447,20000,scaled,nomig,linkedp1,10percent,26
0,1085209,54344,2.7040626,2.7970744,-30030.309,-29980.854,20000,scaled,nomig,linkedp1,10percent,27
0,1056432,84639,1.7345513,1.8342982,-30026.824,-29963.627,20000,scaled,nomig,linkedp1,10percent,28
0,1067915,55004,2.6993641,2.8922919,-30159.807,-30116.067,20000,scaled,nomig,linkedp1,10percent,29
0,1073957,59794,2.5115307,2.5616696,-30036.389,-29972.91,20000,scaled,nomig,linkedp1,10percent,30
0,1066639,77276,1.9817512,1.8938489,-30068.388,-30018.022,20000,scaled,nomig,linkedp1,10percent,31
0,1074959,46451,3.2651138,3.2397137,-30094.563,-30034.595,20000,scaled,nomig,linkedp1,10percent,32
0,1096782,41259,3.5936215,3.610101,-30012.992,-29955.96,20000,scaled,nomig,linkedp1,10percent,33
0,1083245,48800,3.0674475,3.0978334,-30153.884,-30108.465,20000,scaled,nomig,linkedp1,10percent,34
0,1081208,50349,2.9633182,3.0554117,-30101.325,-30046.304,20000,scaled,nomig,linkedp1,10percent,35
0,1074725,56023,2.6928055,2.6882748,-30070.039,-30014.305,20000,scaled,nomig,linkedp1,10percent,36
